accession,length,description
PD356560.1,50,JP 2022525017-A/54: COMPOSITIONS AND METHODS FOR THE DIAGNOSIS AND TREATMENT OF RETINOPATHIES
PD356559.1,50,JP 2022525017-A/53: COMPOSITIONS AND METHODS FOR THE DIAGNOSIS AND TREATMENT OF RETINOPATHIES
PG181406.1,50,JP 2023500896-A/30: A MURINE MODEL OF FETAL/NEONATAL ALLOIMMUNE THROMBOCYTOPENIA
PG181407.1,50,JP 2023500896-A/31: A MURINE MODEL OF FETAL/NEONATAL ALLOIMMUNE THROMBOCYTOPENIA
PC355052.1,48,"JP 2021518132-A/27: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC355054.1,48,"JP 2021518132-A/29: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PG053285.1,48,JP 2022540918-A/11: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC371199.1,48,JP 2021521201-A/9: Antibodies
PC401767.1,48,JP 2021524032-A/6: BINDING PROTEINS AND CHIMERIC ANTIGEN RECEPTOR T CELLS TARGETING GASP-1 GRANULES AND USES THEREOF
PG057244.1,48,JP 2022542808-A/46: Caninized Antibodies Against Canine CTLA-4
PC420563.1,48,"JP 2021526833-A/19: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC420556.1,48,"JP 2021526833-A/12: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PG053330.1,48,JP 2022540918-A/56: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC434879.1,48,JP 2021534811-A/4: ANTI-HER3 ANTIBODY AND USES THEREOF
PG110183.1,48,"JP 2022549172-A/27: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG110185.1,48,"JP 2022549172-A/29: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG053284.1,48,JP 2022540918-A/10: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053286.1,48,JP 2022540918-A/12: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053320.1,48,JP 2022540918-A/46: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC420568.1,48,"JP 2021526833-A/24: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC420548.1,48,"JP 2021526833-A/4: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PG053329.1,48,JP 2022540918-A/55: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC420551.1,48,"JP 2021526833-A/7: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC420554.1,48,"JP 2021526833-A/10: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC420571.1,48,"JP 2021526833-A/27: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC401771.1,48,JP 2021524032-A/10: BINDING PROTEINS AND CHIMERIC ANTIGEN RECEPTOR T CELLS TARGETING GASP-1 GRANULES AND USES THEREOF
PC434881.1,48,JP 2021534811-A/6: ANTI-HER3 ANTIBODY AND USES THEREOF
PC420566.1,48,"JP 2021526833-A/22: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PD154255.1,46,JP 2022512892-A/42: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PG110166.1,45,"JP 2022549172-A/10: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG321229.1,45,JP 2023513458-A/19: CHIMERIC ANTIGEN RECEPTORS TO HER2 AND METHODS OF USE THEREOF
PG239000.1,45,JP 2023506925-A/5: BISPECIFIC CANINIZED ANTIBODIES AND BISPECIFIC BINDING PARTNERS
PG110169.1,45,"JP 2022549172-A/13: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC461192.1,45,JP 2021536245-A/19: METHODS AND COMPOSITIONS FOR GENETICALLY MODIFYING LYMPHOCYTES IN BLOOD OR IN ENRICHED PBMCS
PG110160.1,45,"JP 2022549172-A/4: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC355029.1,45,"JP 2021518132-A/4: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PG087113.1,45,"JP 2022549495-A/6: COMBINATION ANTI-CD30 ADC, ANTI-PD-1 AND CHEMOTHERAPEUTIC FOR TREATMENT OF HEMATOPEITIC CANCERS"
